type,content_json
Concept + Code,"{""question"": ""How is Merge Sort implemented?"", ""answer"": ""Divide and conquer sorting algorithm."", ""code"": {""c"": ""void merge(int a[], int l, int m, int r) { /* Merging logic */ }\nvoid mergeSort(int a[], int l, int r) {\n    if(l<r) { int m = l+(r-l)/2; mergeSort(a, l, m); mergeSort(a, m+1, r); merge(a, l, m, r); }\n}"", ""cpp"": ""std::stable_sort(v.begin(), v.end());"", ""python"": ""def merge_sort(arr):\n    if len(arr)>1:\n        mid = len(arr)//2\n        L, R = arr[:mid], arr[mid:]\n        merge_sort(L); merge_sort(R)\n        # Merge logic...""}, ""explanation"": ""Merge Sort is a stable, divide-and-conquer sorting algorithm. It recursively splits the array into halves until single elements remain, then merges them back in sorted order. It guarantees O(n log n) time complexity in all cases, making it highly reliable for large datasets. However, it requires O(n) auxiliary space for the merging process. It is preferred for linked list sorting due to its sequential access patterns."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Binary Tree implemented?"", ""answer"": ""Hierarchical structure with 2 children."", ""code"": ""// Implementing Binary Tree\nfunction init_binary_tree() {}"", ""explanation"": ""This block initializes the Binary Tree logic for use in DS."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Segmentation vs SQL Join"", ""concept_a"": ""Segmentation"", ""concept_b"": ""SQL Join"", ""difference"": ""Segmentation is Variable size memory partitioning. while SQL Join is Combining rows from multiple tables."", ""use_case"": ""Logical memory grouping. vs Relational data retrieval.""}"
Concept + Code,"{""question"": ""How is Quantum Bit implemented?"", ""answer"": ""Basic unit of quantum info."", ""code"": ""// Implementing Quantum Bit\nfunction init_quantum_bit() {}"", ""explanation"": ""This block initializes the Quantum Bit logic for use in Adv."", ""language"": ""C++""}"
Theory,"{""title"": ""SQL Join"", ""summary"": ""Deep dive into the DBMS theory of SQL Join."", ""key_points"": [""Relational data retrieval."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Theory,"{""title"": ""TCP"", ""summary"": ""Deep dive into the NW theory of TCP."", ""key_points"": [""Web traffic, file transfer."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""ACID"", ""summary"": ""Deep dive into the DBMS theory of ACID."", ""key_points"": [""Ensuring data integrity."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Comparison,"{""topic"": ""OSI Model vs SQL Join"", ""concept_a"": ""OSI Model"", ""concept_b"": ""SQL Join"", ""difference"": ""OSI Model is Layered network framework. while SQL Join is Combining rows from multiple tables."", ""use_case"": ""Standardizing communication. vs Relational data retrieval.""}"
Theory,"{""title"": ""Binary Tree"", ""summary"": ""Deep dive into the DS theory of Binary Tree."", ""key_points"": [""File systems, search trees."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Comparison,"{""topic"": ""Neural Network vs Big O"", ""concept_a"": ""Neural Network"", ""concept_b"": ""Big O"", ""difference"": ""Neural Network is Nodes mimicking brain neurons. while Big O is Worst-case complexity notation."", ""use_case"": ""Machine learning, AI vision. vs Algorithm analysis.""}"
Comparison,"{""topic"": ""Binary Tree vs Queue"", ""concept_a"": ""Binary Tree"", ""concept_b"": ""Queue"", ""difference"": ""Binary Tree is Hierarchical structure with 2 children. while Queue is FIFO linear data structure."", ""use_case"": ""File systems, search trees. vs Scheduling, Buffering.""}"
Theory,"{""title"": ""Stack"", ""summary"": ""Deep dive into the DS theory of Stack."", ""key_points"": [""Recursion, Undo logic."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Dijkstra implemented?"", ""answer"": ""Shortest path in weighted graph."", ""code"": {""c"": ""void dijkstra(int graph[V][V], int src) { /* Priority queue implementation required in C */ }"", ""cpp"": ""#include <set>\nvoid dijkstra(int s) { std::set<std::pair<int, int>> pq; pq.insert({0, s}); }"", ""python"": ""import heapq\ndef dijkstra(graph, start):\n    pq = [(0, start)]\n    while pq: (dist, u) = heapq.heappop(pq)""}, ""explanation"": ""Dijkstra's Algorithm finds the shortest path from a single source vertex to all other vertices in a weighted graph with non-negative edge weights. It uses a Greedy approach, maintaining a set of shortest-reach distances and a priority queue to pick the closest unvisited node. Its complexity is O((V+E) log V) with a binary heap. It is widely used in network routing and GPS navigation systems. Note: It fails on graphs with negative weights."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Hash Map"", ""summary"": ""Deep dive into the DS theory of Hash Map."", ""key_points"": [""Database indexes, O(1) search."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Git"", ""summary"": ""Deep dive into the Tools theory of Git."", ""key_points"": [""Software collaboration."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Comparison,"{""topic"": ""Quantum Bit vs Thread"", ""concept_a"": ""Quantum Bit"", ""concept_b"": ""Thread"", ""difference"": ""Quantum Bit is Basic unit of quantum info. while Thread is Lightweight execution unit."", ""use_case"": ""Quantum computing parallelism. vs Parallel processing in applications.""}"
Theory,"{""title"": ""DNS"", ""summary"": ""Deep dive into the NW theory of DNS."", ""key_points"": [""Human-friendly web navigation."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""UDP"", ""summary"": ""Deep dive into the NW theory of UDP."", ""key_points"": [""Gaming, streaming."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Concept + Code,"{""question"": ""How is Stack implemented?"", ""answer"": ""LIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 100\nint stack[MAX], top = -1;\nvoid push(int x) { if(top < MAX-1) stack[++top] = x; }\nint pop() { return (top >= 0) ? stack[top--] : -1; }\nint main() { push(10); printf(\""%d\"", pop()); return 0; }"", ""cpp"": ""#include <iostream>\n#include <stack>\nint main() { std::stack<int> s; s.push(10); std::cout << s.top(); s.pop(); return 0; }"", ""python"": ""class Stack:\n    def __init__(self): self.items = []\n    def push(self, x): self.items.append(x)\n    def pop(self): return self.items.pop() if self.items else None\ns = Stack(); s.push(10); print(s.pop())""}, ""explanation"": ""A Stack is a fundamental LIFO (Last-In, First-Out) data structure. It mimics a physical stack of plates where elements are added (Push) and removed (Pop) only from the Top. Internally, it can be implemented using arrays or linked lists. It is crucial for expression parsing, depth-first search, and managing function calls in the OS kernel. Key operations take O(1) time. Overflow occurs when the fixed size is exceeded, while Underflow happens on pop from an empty stack."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Segmentation implemented?"", ""answer"": ""Variable size memory partitioning."", ""code"": ""// Implementing Segmentation\nfunction init_segmentation() {}"", ""explanation"": ""This block initializes the Segmentation logic for use in OS."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Deadlock implemented?"", ""answer"": ""Mutual blocking of resource waiting."", ""code"": ""// Implementing Deadlock\nfunction init_deadlock() {}"", ""explanation"": ""This block initializes the Deadlock logic for use in OS."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Linked List vs Quick Sort"", ""concept_a"": ""Linked List"", ""concept_b"": ""Quick Sort"", ""difference"": ""Linked List is Chain of nodes with pointers. while Quick Sort is Pivot-based partitioning sort."", ""use_case"": ""Dynamic memory allocation. vs General purpose efficient sorting.""}"
Theory,"{""title"": ""Git"", ""summary"": ""Deep dive into the Tools theory of Git."", ""key_points"": [""Software collaboration."", ""Part of Tools domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Tools""}"
Comparison,"{""topic"": ""Merge Sort vs Segmentation"", ""concept_a"": ""Merge Sort"", ""concept_b"": ""Segmentation"", ""difference"": ""Merge Sort is Divide and conquer sorting algorithm. while Segmentation is Variable size memory partitioning."", ""use_case"": ""Stable sorting requirements. vs Logical memory grouping.""}"
Theory,"{""title"": ""Dijkstra"", ""summary"": ""Deep dive into the Algo theory of Dijkstra."", ""key_points"": [""Network routing, GPS."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Theory,"{""title"": ""UDP"", ""summary"": ""Deep dive into the NW theory of UDP."", ""key_points"": [""Gaming, streaming."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Comparison,"{""topic"": ""Paging vs Binary Tree"", ""concept_a"": ""Paging"", ""concept_b"": ""Binary Tree"", ""difference"": ""Paging is Non-contiguous memory management. while Binary Tree is Hierarchical structure with 2 children."", ""use_case"": ""Virtual memory systems. vs File systems, search trees.""}"
Theory,"{""title"": ""Big O"", ""summary"": ""Deep dive into the Adv theory of Big O."", ""key_points"": [""Algorithm analysis."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Theory,"{""title"": ""Neural Network"", ""summary"": ""Deep dive into the Adv theory of Neural Network."", ""key_points"": [""Machine learning, AI vision."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Comparison,"{""topic"": ""Linked List vs Hash Map"", ""concept_a"": ""Linked List"", ""concept_b"": ""Hash Map"", ""difference"": ""Linked List is Chain of nodes with pointers. while Hash Map is Key-value mapping via hashing."", ""use_case"": ""Dynamic memory allocation. vs Database indexes, O(1) search.""}"
Comparison,"{""topic"": ""Docker vs Dijkstra"", ""concept_a"": ""Docker"", ""concept_b"": ""Dijkstra"", ""difference"": ""Docker is Containerization platform. while Dijkstra is Shortest path in weighted graph."", ""use_case"": ""App deployment consistency. vs Network routing, GPS.""}"
Concept + Code,"{""question"": ""How is DP implemented?"", ""answer"": ""Solving via subproblem memoization."", ""code"": ""// Implementing DP\nfunction init_dp() {}"", ""explanation"": ""This block initializes the DP logic for use in Algo."", ""language"": ""Python""}"
Theory,"{""title"": ""DP"", ""summary"": ""Deep dive into the Algo theory of DP."", ""key_points"": [""Optimization problems (Knapsack)."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Theory,"{""title"": ""Normalization"", ""summary"": ""Deep dive into the DBMS theory of Normalization."", ""key_points"": [""Schema design optimization."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Comparison,"{""topic"": ""TCP vs Dijkstra"", ""concept_a"": ""TCP"", ""concept_b"": ""Dijkstra"", ""difference"": ""TCP is Connection-oriented reliable protocol. while Dijkstra is Shortest path in weighted graph."", ""use_case"": ""Web traffic, file transfer. vs Network routing, GPS.""}"
Concept + Code,"{""question"": ""How is Normalization implemented?"", ""answer"": ""Reducing data redundancy."", ""code"": ""// Implementing Normalization\nfunction init_normalization() {}"", ""explanation"": ""This block initializes the Normalization logic for use in DBMS."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is Graph implemented?"", ""answer"": ""Nodes and edges representing relations."", ""code"": {""c"": ""#include <stdio.h>\nint adj[10][10], visited[10];\nvoid dfs(int u, int n) {\n    visited[u] = 1; printf(\""%d \"", u);\n    for(int v=0; v<n; v++) if(adj[u][v] && !visited[v]) dfs(v, n);\n}"", ""cpp"": ""#include <vector>\n#include <queue>\nvoid bfs(int s, std::vector<int> adj[]) {\n    std::queue<int> q; q.push(s); \n}"", ""python"": ""def dfs(u, graph, visited):\n    visited.add(u)\n    for v in graph[u]:\n        if v not in visited: dfs(v, graph, visited)""}, ""explanation"": ""Graphs represent relationships between objects (Nodes) via Edges. They can be Directed (one-way) or Undirected (mutual). Traversal is performed using Breadth-First Search (BFS) for layer-by-layer exploration or Depth-First Search (DFS) for path-based deep dives. BFS uses a Queue and is ideal for finding shortest paths in unweighted graphs, while DFS uses a Stack (or recursion) and is used for topological sorting or cycle detection. Complexity depends on V (vertices) and E (edges), typically O(V+E)."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""DP"", ""summary"": ""Deep dive into the Algo theory of DP."", ""key_points"": [""Optimization problems (Knapsack)."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Theory,"{""title"": ""SQL Join"", ""summary"": ""Deep dive into the DBMS theory of SQL Join."", ""key_points"": [""Relational data retrieval."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Concept + Code,"{""question"": ""How is DNS implemented?"", ""answer"": ""Domain name to IP resolution."", ""code"": ""// Implementing DNS\nfunction init_dns() {}"", ""explanation"": ""This block initializes the DNS logic for use in NW."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Linked List vs Git"", ""concept_a"": ""Linked List"", ""concept_b"": ""Git"", ""difference"": ""Linked List is Chain of nodes with pointers. while Git is Distributed version control."", ""use_case"": ""Dynamic memory allocation. vs Software collaboration.""}"
Theory,"{""title"": ""Dijkstra"", ""summary"": ""Deep dive into the Algo theory of Dijkstra."", ""key_points"": [""Network routing, GPS."", ""Part of Algo domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Algo""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Git implemented?"", ""answer"": ""Distributed version control."", ""code"": ""// Implementing Git\nfunction init_git() {}"", ""explanation"": ""This block initializes the Git logic for use in Tools."", ""language"": ""C++""}"
Theory,"{""title"": ""OSI Model"", ""summary"": ""Deep dive into the NW theory of OSI Model."", ""key_points"": [""Standardizing communication."", ""Part of NW domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""NW""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Merge Sort implemented?"", ""answer"": ""Divide and conquer sorting algorithm."", ""code"": {""c"": ""void merge(int a[], int l, int m, int r) { /* Merging logic */ }\nvoid mergeSort(int a[], int l, int r) {\n    if(l<r) { int m = l+(r-l)/2; mergeSort(a, l, m); mergeSort(a, m+1, r); merge(a, l, m, r); }\n}"", ""cpp"": ""std::stable_sort(v.begin(), v.end());"", ""python"": ""def merge_sort(arr):\n    if len(arr)>1:\n        mid = len(arr)//2\n        L, R = arr[:mid], arr[mid:]\n        merge_sort(L); merge_sort(R)\n        # Merge logic...""}, ""explanation"": ""Merge Sort is a stable, divide-and-conquer sorting algorithm. It recursively splits the array into halves until single elements remain, then merges them back in sorted order. It guarantees O(n log n) time complexity in all cases, making it highly reliable for large datasets. However, it requires O(n) auxiliary space for the merging process. It is preferred for linked list sorting due to its sequential access patterns."", ""language"": ""C / C++ / Python""}"
Concept + Code,"{""question"": ""How is Quick Sort implemented?"", ""answer"": ""Pivot-based partitioning sort."", ""code"": {""c"": ""int partition(int a[], int l, int h) { int p = a[h], i = (l-1); /* Swap logic */ }\nvoid quickSort(int a[], int l, int h) {\n    if(l<h) { int pi = partition(a, l, h); quickSort(a, l, pi-1); quickSort(a, pi+1, h); }\n}"", ""cpp"": ""#include <algorithm>\nvoid qsort(std::vector<int>& v) { std::sort(v.begin(), v.end()); }"", ""python"": ""def quicksort(arr):\n    if len(arr) <= 1: return arr\n    pivot = arr[len(arr)//2]\n    left = [x for x in arr if x < pivot]\n    # middle & right...""}, ""explanation"": ""Quick Sort is a highly efficient, in-place sorting algorithm based on the divide-and-conquer principle. It selects a 'pivot' element and partitions the array such that elements smaller than the pivot are on the left and larger on the right. It then recursively sorts the sub-arrays. While its worst-case is O(n\u00b2), its average-case is O(n log n) with a very small constant factor, often outperforming Merge Sort in practice. Randomized pivot selection is commonly used to avoid the worst-case scenario."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Segmentation vs Graph"", ""concept_a"": ""Segmentation"", ""concept_b"": ""Graph"", ""difference"": ""Segmentation is Variable size memory partitioning. while Graph is Nodes and edges representing relations."", ""use_case"": ""Logical memory grouping. vs Social networks, maps.""}"
Theory,"{""title"": ""Stack"", ""summary"": ""Deep dive into the DS theory of Stack."", ""key_points"": [""Recursion, Undo logic."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Linked List implemented?"", ""answer"": ""Chain of nodes with pointers."", ""code"": {""c"": ""#include <stdlib.h>\nstruct Node { int data; struct Node *next; };\nvoid insert(struct Node** head, int x) {\n    struct Node* n = malloc(sizeof(struct Node));\n    n->data = x; n->next = *head; *head = n;\n}"", ""cpp"": ""struct Node { int data; Node* next; };"", ""python"": ""class Node:\n    def __init__(self, data): self.data = data; self.next = None""}, ""explanation"": ""Linked Lists are dynamic data structures consisting of nodes, where each node contains data and a pointer to the next node. Unlike arrays, they don't require contiguous memory and can grow/shrink easily. Operations like insertion and deletion at the head are O(1), but searching takes O(n). Types include Singly, Doubly (pointers in both directions), and Circular (last node points to first). Memory management is critical to avoid leaks."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""Graph vs Quick Sort"", ""concept_a"": ""Graph"", ""concept_b"": ""Quick Sort"", ""difference"": ""Graph is Nodes and edges representing relations. while Quick Sort is Pivot-based partitioning sort."", ""use_case"": ""Social networks, maps. vs General purpose efficient sorting.""}"
Theory,"{""title"": ""Heap"", ""summary"": ""Deep dive into the DS theory of Heap."", ""key_points"": [""Priority queues, Heap Sort."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Theory,"{""title"": ""Big O"", ""summary"": ""Deep dive into the Adv theory of Big O."", ""key_points"": [""Algorithm analysis."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Comparison,"{""topic"": ""Queue vs Process"", ""concept_a"": ""Queue"", ""concept_b"": ""Process"", ""difference"": ""Queue is FIFO linear data structure. while Process is Program in execution."", ""use_case"": ""Scheduling, Buffering. vs Multi-tasking environments.""}"
Concept + Code,"{""question"": ""How is Stack implemented?"", ""answer"": ""LIFO linear data structure."", ""code"": {""c"": ""#include <stdio.h>\n#define MAX 100\nint stack[MAX], top = -1;\nvoid push(int x) { if(top < MAX-1) stack[++top] = x; }\nint pop() { return (top >= 0) ? stack[top--] : -1; }\nint main() { push(10); printf(\""%d\"", pop()); return 0; }"", ""cpp"": ""#include <iostream>\n#include <stack>\nint main() { std::stack<int> s; s.push(10); std::cout << s.top(); s.pop(); return 0; }"", ""python"": ""class Stack:\n    def __init__(self): self.items = []\n    def push(self, x): self.items.append(x)\n    def pop(self): return self.items.pop() if self.items else None\ns = Stack(); s.push(10); print(s.pop())""}, ""explanation"": ""A Stack is a fundamental LIFO (Last-In, First-Out) data structure. It mimics a physical stack of plates where elements are added (Push) and removed (Pop) only from the Top. Internally, it can be implemented using arrays or linked lists. It is crucial for expression parsing, depth-first search, and managing function calls in the OS kernel. Key operations take O(1) time. Overflow occurs when the fixed size is exceeded, while Underflow happens on pop from an empty stack."", ""language"": ""C / C++ / Python""}"
Comparison,"{""topic"": ""IP Address vs Git"", ""concept_a"": ""IP Address"", ""concept_b"": ""Git"", ""difference"": ""IP Address is Numerical label for network device. while Git is Distributed version control."", ""use_case"": ""Routing and identification. vs Software collaboration.""}"
Concept + Code,"{""question"": ""How is Process implemented?"", ""answer"": ""Program in execution."", ""code"": ""// Implementing Process\nfunction init_process() {}"", ""explanation"": ""This block initializes the Process logic for use in OS."", ""language"": ""Java""}"
Comparison,"{""topic"": ""Linked List vs Heap"", ""concept_a"": ""Linked List"", ""concept_b"": ""Heap"", ""difference"": ""Linked List is Chain of nodes with pointers. while Heap is Complete binary tree for priority."", ""use_case"": ""Dynamic memory allocation. vs Priority queues, Heap Sort.""}"
Comparison,"{""topic"": ""OSI Model vs Quick Sort"", ""concept_a"": ""OSI Model"", ""concept_b"": ""Quick Sort"", ""difference"": ""OSI Model is Layered network framework. while Quick Sort is Pivot-based partitioning sort."", ""use_case"": ""Standardizing communication. vs General purpose efficient sorting.""}"
Theory,"{""title"": ""Process"", ""summary"": ""Deep dive into the OS theory of Process."", ""key_points"": [""Multi-tasking environments."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is DNS implemented?"", ""answer"": ""Domain name to IP resolution."", ""code"": ""// Implementing DNS\nfunction init_dns() {}"", ""explanation"": ""This block initializes the DNS logic for use in NW."", ""language"": ""C++""}"
Comparison,"{""topic"": ""Dijkstra vs Quick Sort"", ""concept_a"": ""Dijkstra"", ""concept_b"": ""Quick Sort"", ""difference"": ""Dijkstra is Shortest path in weighted graph. while Quick Sort is Pivot-based partitioning sort."", ""use_case"": ""Network routing, GPS. vs General purpose efficient sorting.""}"
Concept + Code,"{""question"": ""How is TCP implemented?"", ""answer"": ""Connection-oriented reliable protocol."", ""code"": ""// Implementing TCP\nfunction init_tcp() {}"", ""explanation"": ""This block initializes the TCP logic for use in NW."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Merge Sort implemented?"", ""answer"": ""Divide and conquer sorting algorithm."", ""code"": {""c"": ""void merge(int a[], int l, int m, int r) { /* Merging logic */ }\nvoid mergeSort(int a[], int l, int r) {\n    if(l<r) { int m = l+(r-l)/2; mergeSort(a, l, m); mergeSort(a, m+1, r); merge(a, l, m, r); }\n}"", ""cpp"": ""std::stable_sort(v.begin(), v.end());"", ""python"": ""def merge_sort(arr):\n    if len(arr)>1:\n        mid = len(arr)//2\n        L, R = arr[:mid], arr[mid:]\n        merge_sort(L); merge_sort(R)\n        # Merge logic...""}, ""explanation"": ""Merge Sort is a stable, divide-and-conquer sorting algorithm. It recursively splits the array into halves until single elements remain, then merges them back in sorted order. It guarantees O(n log n) time complexity in all cases, making it highly reliable for large datasets. However, it requires O(n) auxiliary space for the merging process. It is preferred for linked list sorting due to its sequential access patterns."", ""language"": ""C / C++ / Python""}"
Theory,"{""title"": ""Binary Tree"", ""summary"": ""Deep dive into the DS theory of Binary Tree."", ""key_points"": [""File systems, search trees."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
Concept + Code,"{""question"": ""How is Paging implemented?"", ""answer"": ""Non-contiguous memory management."", ""code"": ""// Implementing Paging\nfunction init_paging() {}"", ""explanation"": ""This block initializes the Paging logic for use in OS."", ""language"": ""C++""}"
